INSERT INTO Customer (customer_id, customer_name, address, phone_number, email) VALUES
('CS00001', 'Ivy Wijaya', 'Jl. Merdeka No.1 RT1/RW1', '081210000001', 'ivy.wijaya@mail.com'),
('CS00002', 'Galih Rahma Sumarno', 'Jl. Sudirman No.1 RT2/RW1', '081210000002', 'galih.rahma.sumarno@mail.com'),
('CS00003', 'Saleh Nugroho Putra', 'Jl. Ahmad Yani No.1 RT3/RW1', '081210000003', 'saleh.nugroho.putra@mail.com'),
('CS00004', 'Joko Anisa Martinez', 'Jl. Raya Darmo No.1 RT4/RW1', '081210000004', 'joko.anisa.martinez@mail.com'),
('CS00005', 'Michael Sari', 'Jl. Kenanga No.1 RT5/RW1', '081210000005', 'michael.sari@mail.com'),
('CS00006', 'Ethan Sari', 'Jl. Ketintang No.1 RT6/RW1', '081210000006', 'ethan.sari@mail.com'),
('CS00007', 'Michael Paul Arifin', 'Jl. Veteran No.1 RT7/RW1', '081210000007', 'michael.paul.arifin@mail.com'),
('CS00008', 'Bryan Gomez', 'Jl. Basuki Rahmat No.1 RT8/RW1', '081210000008', 'bryan.gomez@mail.com'),
('CS00009', 'Hana Khan', 'Jl. Bojonegoro No.1 RT9/RW1', '081210000009', 'hana.khan@mail.com'),
('CS00010', 'Iris Alexander Yusuf', 'Jl. Mulyo No.1 RT10/RW1', '081210000010', 'iris.alexander.yusuf@mail.com'),
('CS00011', 'Umar Saputra Sutanto', 'Jl. Gedongan No.1 RT1/RW2', '081210000011', 'umar.saputra.sutanto@mail.com'),
('CS00012', 'Dewi Maulana', 'Jl. Pahlawan No.1 RT2/RW2', '081210000012', 'dewi.maulana@mail.com'),
('CS00013', 'Aiden Lee Silva', 'Jl. Mawar No.1 RT3/RW2', '081210000013', 'aiden.lee.silva@mail.com'),
('CS00014', 'Usman Putra Santoso', 'Jl. Melati No.1 RT4/RW2', '081210000014', 'usman.putra.santoso@mail.com'),
('CS00015', 'Praba Gomez', 'Jl. Gubeng No.1 RT5/RW2', '081210000015', 'praba.gomez@mail.com'),
('CS00016', 'Cahaya Hartono Agustina', 'Jl. Rajawali No.1 RT6/RW2', '081210000016', 'cahaya.hartono.agustina@mail.com'),
